Staða í m.kr. / Position in ISK mill.,6/30/2020,5/31/2020,4/30/2020,3/31/2020,2/29/2020,1/31/2020,12/31/2019,11/30/2019,10/31/2019,9/30/2019,8/31/2019,7/31/2019,6/30/2019,5/31/2019,4/30/2019,3/31/2019,2/28/2019,1/31/2019,12/31/2018,11/30/2018,10/31/2018,9/30/2018,8/31/2018,7/31/2018,6/30/2018,5/31/2018,4/30/2018,3/31/2018,2/28/2018,1/31/2018,12/31/2017,11/30/2017,10/31/2017,9/30/2017,8/31/2017,7/31/2017,6/30/2017,5/31/2017,4/30/2017,3/31/2017,2/28/2017,1/31/2017,12/31/2016,11/30/2016,10/31/2016,9/30/2016,8/31/2016,7/31/2016,6/30/2016,5/31/2016,4/30/2016,3/31/2016,2/29/2016,1/31/2016,12/31/2015,11/30/2015,10/31/2015,9/30/2015,8/31/2015,7/31/2015,6/30/2015,5/31/2015,4/30/2015,3/31/2015,2/28/2015,1/31/2015,12/31/2014,11/30/2014,10/31/2014,9/30/2014,8/31/2014,7/31/2014,6/30/2014,5/31/2014,4/30/2014,3/31/2014,2/28/2014,1/31/2014,12/31/2013,11/30/2013,10/31/2013,9/30/2013,8/31/2013,7/31/2013,6/30/2013,5/31/2013,4/30/2013,3/31/2013,2/28/2013,1/31/2013,12/31/2012,11/30/2012,10/31/2012,9/30/2012,8/31/2012,7/31/2012,6/30/2012,5/31/2012,4/30/2012,3/31/2012,2/29/2012,1/31/2012,12/31/2011,11/30/2011,10/31/2011,9/30/2011,8/31/2011,7/31/2011,6/30/2011,5/31/2011,4/30/2011,3/31/2011,2/28/2011,1/31/2011,12/31/2010,11/30/2010,10/31/2010,9/30/2010,8/31/2010,7/31/2010,6/30/2010,5/31/2010,4/30/2010,3/31/2010,2/28/2010,1/31/2010,12/31/2009,11/30/2009,10/31/2009,9/30/2009,8/31/2009,7/31/2009,6/30/2009,5/31/2009,4/30/2009,3/31/2009,2/28/2009,1/31/2009,12/31/2008,11/30/2008,10/31/2008,9/30/2008,8/31/2008,7/31/2008,6/30/2008,5/31/2008,4/30/2008,3/31/2008,2/29/2008,1/31/2008,12/31/2007,11/30/2007,10/31/2007,9/30/2007,8/31/2007,7/31/2007,6/30/2007,5/31/2007,4/30/2007,3/31/2007,2/28/2007,1/31/2007,12/31/2006,11/30/2006,10/31/2006,9/30/2006,8/31/2006,7/31/2006,6/30/2006,5/31/2006,4/30/2006,3/31/2006,2/28/2006,1/31/2006,12/31/2005,11/30/2005,10/31/2005,9/30/2005,8/31/2005,7/31/2005,6/30/2005,5/31/2005,4/30/2005,3/31/2005,2/28/2005,1/31/2005,12/31/2004,11/30/2004,10/31/2004,9/30/2004,8/31/2004,7/31/2004,6/30/2004,5/31/2004,4/30/2004,3/31/2004,2/29/2004,1/31/2004,12/31/2003,11/30/2003,10/31/2003,9/30/2003,8/31/2003,7/31/2003,6/30/2003,5/31/2003,4/30/2003,3/31/2003,2/28/2003,1/31/2003,12/31/2002,11/30/2002,10/31/2002,9/30/2002,8/31/2002,7/31/2002,6/30/2002,5/31/2002,4/30/2002,3/31/2002,2/28/2002,1/31/2002,12/31/2001,11/30/2001,10/31/2001,9/30/2001,8/31/2001,7/31/2001,6/30/2001,5/31/2001,4/30/2001,3/31/2001,2/28/2001,1/31/2001,12/31/2000,11/30/2000,10/31/2000,9/30/2000,8/31/2000,7/31/2000,6/30/2000,5/31/2000,4/30/2000,3/31/2000,2/29/2000,1/31/2000,12/31/1999,11/30/1999,10/31/1999,9/30/1999,8/31/1999,7/31/1999,6/30/1999,5/31/1999,4/30/1999,3/31/1999,2/28/1999,1/31/1999,12/31/1998,11/30/1998,10/31/1998,9/30/1998,8/31/1998,7/31/1998,6/30/1998,5/31/1998,4/30/1998,3/31/1998,2/28/1998,1/31/1998,12/31/1997,11/30/1997,10/31/1997,9/30/1997,8/31/1997,7/31/1997,6/30/1997,5/31/1997,4/30/1997,3/31/1997,2/28/1997,1/31/1997,12/31/1996,11/30/1996,10/31/1996,9/30/1996,8/31/1996,7/31/1996,6/30/1996,5/31/1996,4/30/1996,3/31/1996,2/29/1996,1/31/1996,12/31/1995,11/30/1995,10/31/1995,9/30/1995,8/31/1995,7/31/1995,6/30/1995,5/31/1995,4/30/1995,3/31/1995,2/28/1995,1/31/1995,12/31/1994,11/30/1994,10/31/1994,9/30/1994,8/31/1994,7/31/1994,6/30/1994,5/31/1994,4/30/1994,3/31/1994,2/28/1994,1/31/1994,12/31/1993,11/30/1993,10/31/1993,9/30/1993,8/31/1993,7/31/1993,6/30/1993,5/31/1993,4/30/1993,3/31/1993,2/28/1993,1/31/1993,12/31/1992,11/30/1992,10/31/1992,9/30/1992,8/31/1992,7/31/1992,6/30/1992,5/31/1992,4/30/1992,3/31/1992,2/29/1992,1/31/1992,12/31/1991,11/30/1991,10/31/1991,9/30/1991,8/31/1991,7/31/1991,6/30/1991,5/31/1991,4/30/1991,3/31/1991,2/28/1991,1/31/1991,12/31/1990,11/30/1990,10/31/1990,9/30/1990,8/31/1990,7/31/1990,6/30/1990,5/31/1990,4/30/1990,3/31/1990,2/28/1990,1/31/1990,12/31/1989,11/30/1989,10/31/1989,9/30/1989,8/31/1989,7/31/1989,6/30/1989,5/31/1989,4/30/1989,3/31/1989,2/28/1989,1/31/1989,12/31/1988,11/30/1988,10/31/1988,9/30/1988,8/31/1988,7/31/1988,6/30/1988,5/31/1988,4/30/1988,3/31/1988,2/29/1988,1/31/1988,12/31/1987,11/30/1987,10/31/1987,9/30/1987,8/31/1987,7/31/1987,6/30/1987,5/31/1987,4/30/1987,3/31/1987,2/28/1987,1/31/1987
Markaðsskuldabréf / Marketable bonds*,2651186,2595673,2571476,2534050,2522800,2536771,2512159,2513221,2512447,2561896,2554109,2562530,2554960,2563319,2535457,2525519,2491496,2524694,2484579,2468241,2443738,2438921,2422636,2412282,2408465,2399276,2390031,2404759,2382956,2391712,2388126,2402278,2409689,2416823,2413045,2424640,2425177,2438306,2388248,2378640,2369469,2409315,2388080,2368368,2358792,2416095,2395069,2376623,2365134,2404953,2381893,2382997,2356506,2350021,2343641,2337894,2344611,2352014,2331794,2315973,2294211,2277742,2291555,2278519,2279571,2278340,2273927,2261882,2239501,2223756,2208604,2206456,2189700,2209180,2206235,2208223,2219404,2243192,2248452,2250447,2240908,2239192,2220056,2234735,2237502,2201432,2241224,2225922,2212235,2188044,2161851,2160852,2147829,2133835,2132282,2180555,2152533,2158561,2142978,2132627,2118319,2117279,2099006,1977652,1949933,1919018,1914737,1915035,1906106,1902470,1901700,1876861,1817916,1823346,1805216,1839965,1797773,1797980,1807714,1775572,1752559,1739879,1525767,1468694,1529400,1501865,1484170,1444597,1443947,1459654,1463368,1450040,1478762,1486655,1521427,1497536,1511999,1512680,1471862,1420054,1436729,1862983,1825346,1792649,1781811,1707413,1628752,1524755,1543185,1543026,1579202,1473078,1447866,1463798,1384258,1374742,1392864,1321259,1288431,1297895,1301207,1346273,1325573,1261843,1241023,1213832,1229886,1208236,1195779,1117601,1095899,1089027,972785,1045775,1055107,1022213,995376,985359,945077,948220,930667,882542,875594,879043,850428,856593,862117,853259,811312,801684,796699,790470,783411,758558,748451,739283,723137,709674,725354,706119,670802,671475,658342,650011,633872,631152,617479,618478,599990,597966,585005,584573,578387,567402,558621,552308,549824,532605,524712,525549,519820,506099,495742,478663,473804,466039,458216,451754,444022,433200,422372,415969,413396,414408,437934,434963,429938,422953,417362,414667,416689,406778,405459,403655,406380,408250,409513,403590,403843,400885,396109,393745,384452,381155,377018,371291,360963,364391,359477,358430,355757,355215,350580,343882,340411,334342,335291,334148,327730,310754,305211,302742,299830,298777,295940,291819,288824,284390,278639,274389,268163,264567,257115,255813,251658,247758,245866,241860,246552,242432,238355,234868,230696,225272,219434,220730,218557,215268,210783,208753,205571,202283,200013,197890,194218,195986,192794,189437,186933,184407,180028,177122,173654,168781,167568,164776,161328,161509,159482,156692,154783,152381,147011,144897,140667,138359,136503,134392,130908,126996,123136,124019,122293,120834,119440,117074,114468,113292,112071,109293,107172,104486,101062,99220,97373,95386,93701,89741,86861,84257,81361,78810,76400,75230,71743,69285,67432,65501,64329,62956,57302,56548,55355,53467,51281,50330,48789,45101,43741,43841,42169,41044,39630,36705,36516,35205,33691,31664,31994,30474,29733,29560,28319,26588,24983,23547,22539,21423,20697,19349,19610,16550,16215,15970,14999,14780,14499,13488,13170,13025,11517,11657
Ríkisbréf / Treasury bonds,708346,707073,694187,662533,654983,691801,687941,684683,694523,695149,687528,681664,680469,674849,666679,652671,630920,677680,671285,661487,671388,686307,686306,693894,696669,703942,710048,732623,730393,741696,764703,785368,815714,801728,802429,822571,825105,838513,826914,817463,831688,857782,852562,834983,843546,898134,888988,864550,856739,893011,892364,888657,882678,875179,874087,866064,887620,890707,881322,864250,847724,836932,846078,868779,884131,868313,864346,860928,837255,838838,822759,818182,817472,827523,831234,821354,835740,831861,831286,840333,846125,843478,833160,830093,814840,813551,872325,851299,849819,833789,812709,813122,807282,797929,791028,823844,799703,793458,785093,781473,778699,765825,761796,762278,742752,717924,703372,703143,730450,726980,730580,720786,681620,672689,659279,704654,667509,663449,663924,637268,617478,600708,375927,353855,397596,374186,363477,338794,325017,322486,320977,300839,303432,336478,302107,280831,254053,256088,229835,187605,200791,200971,186213,177717,167887,155623,129127,124497,119287,106928,106919,106392,106433,106961,109446,105294,102374,100091,99038,97693,96561,114442,109388,105132,105032,105166,106200,100515,97789,93183,97904,98074,97675,97616,96973,94780,95076,94868,92740,92619,89829,89872,88536,105923,104583,104416,104767,104724,105722,106077,106903,106292,105596,104549,105253,104628,99477,97056,99791,97758,95961,104617,102446,101097,97023,95183,93204,92121,90677,96735,94229,93738,94296,92224,91242,90475,89011,88573,90035,97200,96138,95105,94660,93050,92472,91642,90027,88095,86705,84427,82320,82757,82635,87358,87004,85916,86117,87971,88405,87944,89283,90044,89358,91469,96101,99379,97655,97428,99994,102561,102383,101694,100627,101273,100569,98823,99044,104810,104562,107354,108251,111503,112358,111116,109779,108385,107997,108432,107190,101517,100207,99810,99266,100946,99845,98448,99166,97114,93289,92436,88730,87930,87709,86839,85345,84658,84417,83160,90575,89551,87953,87482,85311,84070,84536,84044,84111,82246,80611,79371,77900,76849,76113,75199,74350,78950,78024,77165,76445,75362,74725,73369,71748,70406,68774,67123,65651,67324,66116,64377,63297,63132,60671,59782,58858,58271,57509,56495,55145,54005,53221,52184,51553,50954,50856,50451,49839,49250,48748,47817,46911,46298,46610,44918,44498,43331,42965,42002,41116,40352,39579,38958,38486,38883,38207,37457,36763,35030,34059,33220,30374,29932,29397,28048,27404,27097,26534,25593,24835,25284,24815,24302,23333,21102,20571,19736,19425,18946,19735,18799,18175,18039,17697,16567,15648,15207,14799,14468,14137,13442,14021,11601,11366,11221,11159,10940,10659,10459,10141,9996,9923,10063
Óverðtryggð ríkisbréf / Nominal Treasury bonds,477117,475879,465572,439208,429141,471906,470446,465471,471797,471982,466915,462857,461106,458042,453303,440587,424614,475179,468715,463319,481689,497945,498387,506497,509814,517372,522495,544365,542649,553090,575225,595949,628529,617110,616055,636464,640540,656315,646582,638803,654299,680759,675074,661186,670078,733606,727162,701795,693529,729430,728426,724618,718239,711481,709268,701954,717722,701278,691075,673695,658237,648114,657447,678723,696090,683022,676445,673192,649607,650567,634263,629912,629057,638494,642298,633332,646530,643469,640507,644063,648910,645429,635603,635328,622796,621988,681876,671741,670329,657772,639255,639762,635022,628438,621064,655663,631096,625550,619309,616987,614505,619625,617870,619716,634110,612106,597782,599097,639976,636067,643671,640886,602021,597936,585498,631090,601387,601213,607573,590724,579099,564093,342949,333545,377299,353816,342839,317844,304382,302084,300758,280727,283670,317013,282066,260747,234109,235206,209317,167515,181164,181164,166646,158391,148789,136840,110979,106665,101746,89365,89365,89014,88985,89637,92403,88303,84178,81628,81628,80328,78828,96586,91636,86936,86936,85936,83186,77686,73436,68012,70692,71270,71270,71270,69770,67766,68120,68120,66620,66620,63621,63621,62171,62171,62171,62171,59671,59671,58971,58271,57771,56871,55971,55471,55471,53971,49971,47671,46661,45311,43660,52564,50064,49264,45764,44264,43374,43374,42374,40424,38459,38159,38859,37859,36479,35529,34029,32029,29029,28029,27329,26329,25669,25269,24869,24169,23469,22869,22049,20299,18789,18809,17034,14384,14384,13724,13341,16262,14863,13447,13447,13447,13477,13447,13297,83675,13369,14044,14469,18060,18565,18565,18593,19797,19825,19877,19877,19920,19602,20539,19882,19567,19077,18676,18242,18093,17706,17173,17040,14341,13282,13280,13423,13123,12803,12803,12668,12368,11668,11668,10589,10589,10349,10139,10008,9908,9718,9747,6472,6483,6118,6809,6165,5143,6577,6336,7835,7320,6898,6658,5990,5700,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,4874,4874,4402,3840,3310,2797,2105,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verðtryggð ríkisbréf / Inflation-linked Treasury bonds,231229,231194,228615,223325,225842,219895,217495,219212,222726,223167,220613,218807,219363,216807,213376,212084,206306,202501,202570,198168,189699,188362,187919,187397,186855,186570,187553,188258,187744,188606,189478,189419,187185,184618,186374,186107,184565,182198,180332,178660,177389,177023,177488,173797,173468,164528,161826,162755,163210,163581,163938,164039,164439,163698,164819,164110,169898,189429,190247,190555,189487,188818,188631,190056,188041,185291,187901,187736,187648,188271,188496,188270,188415,189029,188936,188022,189210,188392,190779,196270,197215,198049,197557,194765,192044,191563,190449,179558,179490,176017,173454,173360,172260,169491,169964,168181,168607,167908,165784,164486,164194,146200,143926,142562,108642,105818,105590,104046,90474,90913,86909,79900,79599,74753,73781,73564,66122,62236,56351,46544,38379,36615,32978,20310,20297,20370,20638,20950,20635,20402,20219,20112,19762,19465,20036,20079,19939,20877,20513,20085,19622,19802,19562,19321,19093,18778,18143,17827,17536,17558,17549,17373,17443,17319,17038,16986,18191,18458,17405,17360,17728,17851,17747,18191,18091,19225,23009,22824,24348,25166,27207,26799,26400,26341,27198,27009,26951,26743,26115,25994,26203,26245,26359,43745,42405,42238,45089,45046,46744,47799,49125,49414,49618,49071,49775,50650,49499,49378,53121,52427,52281,52033,52362,51813,51239,50899,49809,48726,48282,56290,55749,55558,55416,54344,54742,54925,54961,56523,60982,69147,68785,68752,68967,67757,67579,67449,66534,65202,64632,64104,63507,63924,65576,72948,72593,72164,72748,71681,73513,74467,75803,76563,75802,77918,82457,13371,81096,80957,81035,79944,79257,78541,77533,76951,76246,74461,74645,80361,80371,82185,83730,87353,88834,88073,87250,86256,86010,87047,85948,82970,82724,82338,81618,83799,83018,81698,82463,80694,77574,76695,74105,73305,73286,72633,71283,70729,70686,69430,80178,79185,78004,76842,75337,75166,74179,73951,72522,71192,70002,69013,68261,67545,66965,66073,65394,71783,71336,70765,70347,69810,69173,67817,66872,65530,64370,63281,62339,64519,64003,62829,63289,63124,60663,59774,58850,58263,57501,56487,55137,53997,53213,52184,51553,50954,50856,50451,49839,49250,48748,47817,46911,46298,46610,44918,44498,43331,42965,42002,41116,40352,39579,38958,38486,38883,38207,37457,36763,35030,34059,33220,30374,29932,29397,28048,27404,27097,26534,25593,24835,25284,24815,24302,23333,21102,20571,19736,19425,18946,19735,18799,18175,18039,17697,16567,15648,15207,14799,14468,14137,13442,14021,11601,11366,11221,11159,10940,10659,10459,10141,9996,9923,10063
Gengisbundin ríkisbréf/ Currency-linked Treasury bonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,27,28,28,28,29,30,33,34,79,104,347,2333,3190,2427,4490,4557,4561,4588,4501,4525,4498,4485,4522,4529,4589,4630,4639,4583,4447,4367,4287,4036,4281,4212,4202,4206,4201,4192,4225,4024,4024,3947,4035,4052,4047,4073,4036,4036,4074,4067,4054,4021,4013,3983,3925,3883,3831,3831,3809,3761,3780,3757,3754,3734,3711,3700,3649,3604,3598,3576,3406,1617,1138,850,548,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banka- og sparisjóðsbréf / Bonds of deposit money banks,478932,478317,474154,467540,458741,453944,444006,441627,438480,495721,503973,499153,506241,494196,475730,481887,481582,464784,449936,437028,422736,416614,413327,404252,397986,388562,382229,375129,364858,356898,349644,347375,337360,347173,337654,325015,322706,316229,294747,288265,276213,271332,266056,263414,255936,254164,250209,245602,244527,243804,236609,236877,225917,215167,210882,206239,200078,194570,187815,179652,180078,170562,182584,177357,173341,173793,174110,171132,179615,174024,171802,173032,183942,183909,183060,183236,177731,179876,179333,177509,175702,174936,169443,170354,165620,161992,158870,156867,153058,151600,150962,148753,146536,145513,145206,145374,147230,146685,142333,142320,137492,134836,134623,11153,7261,7230,7305,7318,7300,7397,7823,7746,7695,8107,7557,7914,7922,7890,8152,8158,8127,7385,7604,24841,24591,26722,19643,19367,19163,18953,21373,21411,21530,22234,22743,25806,81968,87650,87238,95852,129163,515960,527170,514783,532187,494449,460275,377361,378066,380173,409489,357768,334792,336780,240651,247900,275948,269469,260498,269166,247801,256559,259779,226560,225034,209377,217379,210873,205663,196539,179155,184212,137779,140526,150290,143970,135175,138048,126155,130551,130036,128457,124171,116145,100999,100954,99418,98170,89007,89474,90812,94109,91404,91888,89373,88030,79809,79501,85282,86469,87324,87908,86720,87731,82781,84312,86895,94306,86926,82968,77742,88235,87818,85335,85402,85804,89672,78069,70872,69449,71049,61759,51270,50847,52213,51469,51753,50796,51121,51523,51477,51699,52313,51308,73012,82824,80230,75860,70304,69265,71593,64089,65432,62221,61282,60625,63202,61610,62066,64313,63574,64443,63166,63050,65275,62214,54139,54265,53275,52428,52893,51304,50835,47207,47871,47962,51556,50470,48986,39206,40731,39577,37919,39173,40397,39497,37940,37896,36990,37896,36723,34667,31738,30778,31131,29911,29897,30380,30044,27990,28385,29002,28609,27099,23681,25900,25004,24698,24253,25084,25367,25371,24877,24261,22694,21211,21916,20949,21013,20692,20051,20344,20293,20336,23346,23346,23239,23457,23703,23703,23520,23707,22752,23984,24457,24658,24737,25119,24067,22303,20589,23564,24165,24773,24960,23600,23258,24036,24770,23749,23469,22005,19180,20758,20571,20755,20772,20308,20145,20334,19729,19487,19307,18827,17453,17516,17475,18229,18420,18585,16642,17334,16937,16548,15277,14769,13752,12953,12697,12448,12216,11673,11407,11317,11854,11424,10837,9288,8865,8851,8768,8652,8005,7427,6871,6097,5519,4817,4408,3757,3465,3300,3200,3100,2800,2800,2800,2400,2400,2400,1138,1138
